Lattice const,a1,b1,a2,b2,theta,match
17.3621,-4,0,-4,4,60,1.1765
17.3621,-4,0,0,-4,60,1.1765
15.65,-4,1,-3,4,60,1.0605
15.65,-4,1,-1,-3,60,1.0605
15.036,-4,2,-2,-2,60,1.0189
15.036,-4,2,-2,4,60,1.0189
15.65,-4,3,-3,-1,60,1.0605
15.65,-4,3,-1,4,60,1.0605
17.3621,-4,4,-4,0,60,1.1765
17.3621,-4,4,0,4,60,1.1765
15.65,-3,-1,-4,3,60,1.0605
15.65,-3,-1,1,-4,60,1.0605
13.0216,-3,0,-3,3,60,0.88239
13.0216,-3,0,0,-3,60,0.88239
11.4839,-3,1,-2,3,60,0.7782
11.4839,-3,1,-1,-2,60,0.7782
11.4839,-3,2,-2,-1,60,0.7782
11.4839,-3,2,-1,3,60,0.7782
13.0216,-3,3,-3,0,60,0.88239
13.0216,-3,3,0,3,60,0.88239
15.65,-3,4,-4,1,60,1.0605
15.65,-3,4,1,3,60,1.0605
15.036,-2,-2,-4,2,60,1.0189
15.036,-2,-2,2,-4,60,1.0189
11.4839,-2,-1,-3,2,60,0.7782
11.4839,-2,-1,1,-3,60,0.7782
8.681,-2,0,-2,2,60,0.58826
8.681,-2,0,0,-2,60,0.58826
7.518,-2,1,-1,-1,60,0.50945
7.518,-2,1,-1,2,60,0.50945
8.681,-2,2,-2,0,60,0.58826
8.681,-2,2,0,2,60,0.58826
11.4839,-2,3,-3,1,60,0.7782
11.4839,-2,3,1,2,60,0.7782
15.036,-2,4,-4,2,60,1.0189
15.036,-2,4,2,2,60,1.0189
15.65,-1,-3,-4,1,60,1.0605
15.65,-1,-3,3,-4,60,1.0605
11.4839,-1,-2,-3,1,60,0.7782
11.4839,-1,-2,2,-3,60,0.7782
7.518,-1,-1,-2,1,60,0.50945
7.518,-1,-1,1,-2,60,0.50945
4.3405,-1,0,-1,1,60,0.29413
4.3405,-1,0,0,-1,60,0.29413
4.3405,-1,1,-1,0,60,0.29413
4.3405,-1,1,0,1,60,0.29413
7.518,-1,2,-2,1,60,0.50945
7.518,-1,2,1,1,60,0.50945
11.4839,-1,3,-3,2,60,0.7782
11.4839,-1,3,2,1,60,0.7782
15.65,-1,4,-4,3,60,1.0605
15.65,-1,4,3,1,60,1.0605
17.3621,0,-4,-4,0,60,1.1765
17.3621,0,-4,4,-4,60,1.1765
13.0216,0,-3,-3,0,60,0.88239
13.0216,0,-3,3,-3,60,0.88239
8.681,0,-2,-2,0,60,0.58826
8.681,0,-2,2,-2,60,0.58826
4.3405,0,-1,-1,0,60,0.29413
4.3405,0,-1,1,-1,60,0.29413
4.3405,0,1,-1,1,60,0.29413
4.3405,0,1,1,0,60,0.29413
8.681,0,2,-2,2,60,0.58826
8.681,0,2,2,0,60,0.58826
13.0216,0,3,-3,3,60,0.88239
13.0216,0,3,3,0,60,0.88239
17.3621,0,4,-4,4,60,1.1765
17.3621,0,4,4,0,60,1.1765
15.65,1,-4,-3,-1,60,1.0605
15.65,1,-4,4,-3,60,1.0605
11.4839,1,-3,-2,-1,60,0.7782
11.4839,1,-3,3,-2,60,0.7782
7.518,1,-2,-1,-1,60,0.50945
7.518,1,-2,2,-1,60,0.50945
4.3405,1,-1,0,-1,60,0.29413
4.3405,1,-1,1,0,60,0.29413
4.3405,1,0,0,1,60,0.29413
4.3405,1,0,1,-1,60,0.29413
7.518,1,1,-1,2,60,0.50945
7.518,1,1,2,-1,60,0.50945
11.4839,1,2,-2,3,60,0.7782
11.4839,1,2,3,-1,60,0.7782
15.65,1,3,-3,4,60,1.0605
15.65,1,3,4,-1,60,1.0605
15.036,2,-4,-2,-2,60,1.0189
15.036,2,-4,4,-2,60,1.0189
11.4839,2,-3,-1,-2,60,0.7782
11.4839,2,-3,3,-1,60,0.7782
8.681,2,-2,0,-2,60,0.58826
8.681,2,-2,2,0,60,0.58826
7.518,2,-1,1,-2,60,0.50945
7.518,2,-1,1,1,60,0.50945
8.681,2,0,0,2,60,0.58826
8.681,2,0,2,-2,60,0.58826
11.4839,2,1,-1,3,60,0.7782
11.4839,2,1,3,-2,60,0.7782
15.036,2,2,-2,4,60,1.0189
15.036,2,2,4,-2,60,1.0189
15.65,3,-4,-1,-3,60,1.0605
15.65,3,-4,4,-1,60,1.0605
13.0216,3,-3,0,-3,60,0.88239
13.0216,3,-3,3,0,60,0.88239
11.4839,3,-2,1,-3,60,0.7782
11.4839,3,-2,2,1,60,0.7782
11.4839,3,-1,1,2,60,0.7782
11.4839,3,-1,2,-3,60,0.7782
13.0216,3,0,0,3,60,0.88239
13.0216,3,0,3,-3,60,0.88239
15.65,3,1,-1,4,60,1.0605
15.65,3,1,4,-3,60,1.0605
17.3621,4,-4,0,-4,60,1.1765
17.3621,4,-4,4,0,60,1.1765
15.65,4,-3,1,-4,60,1.0605
15.65,4,-3,3,1,60,1.0605
15.036,4,-2,2,-4,60,1.0189
15.036,4,-2,2,2,60,1.0189
15.65,4,-1,1,3,60,1.0605
15.65,4,-1,3,-4,60,1.0605
17.3621,4,0,0,4,60,1.1765
17.3621,4,0,4,-4,60,1.1765
